Designator,Mid X,Mid Y,Rotation,Layer
C1,148.0,-134.25,180.0,top
C10,140.65,-120.2,-90.0,top
C11,150.5,-118.975,0.0,top
C12,72.0,-114.15,-90.0,bottom
C13,84.15,-132.85,0.0,bottom
C14,140.65,-115.2,90.0,top
C15,121.75,-102.85,0.0,bottom
C16,121.8675,-113.85,0.0,bottom
C17,134.5,-94.0,0.0,bottom
C18,134.5,-108.0,0.0,bottom
C19,150.05,-60.95,-90.0,top
C2,146.25,-140.6,-90.0,top
C20,145.975,-84.75,180.0,top
C21,132.4525,-139.86,0.0,top
C22,148.76,-70.29,90.0,top
C23,137.9,-125.85,-90.0,top
C24,143.725,-73.0,180.0,top
C25,150.5,-73.5,-90.0,top
C26,126.4525,-122.26,0.0,top
C27,126.3,-137.95,180.0,top
C28,120.7425,-116.0,0.0,top
C29,119.1925,-123.41,0.0,top
C3,148.0,-129.25,180.0,top
C30,119.27,-126.12,180.0,top
C31,117.83,-131.71,0.0,top
C32,134.3325,-137.95,180.0,top
C33,109.48,-139.5,90.0,top
C34,88.375,-120.65,180.0,top
C35,108.735,-120.05,-90.0,top
C36,88.35,-122.35,180.0,top
C37,108.76,-123.25,90.0,top
C38,88.35,-118.9,0.0,top
C39,104.635,-119.25,180.0,top
C4,148.0,-131.75,180.0,top
C40,93.82,-100.16,-90.0,top
C41,92.15,-127.8,0.0,top
C42,91.8,-95.95,180.0,bottom
C43,100.975,-131.75,0.0,bottom
C44,76.35,-122.1,180.0,top
C45,98.66,-122.4,180.0,top
C46,95.72,-100.16,-90.0,top
C47,92.15,-129.4,0.0,top
C48,113.2,-125.4,-90.0,bottom
C49,74.575,-97.2,0.0,bottom
C5,140.8,-141.75,180.0,top
C50,96.0,-104.45,0.0,top
C51,77.5,-104.25,0.0,top
C52,99.5,-103.2,-90.0,top
C53,76.75,-101.75,180.0,top
C54,99.05,-105.75,180.0,top
C55,77.4,-105.95,180.0,top
C56,79.45,-118.05,-90.0,top
C57,90.425,-99.675,-90.0,top
C6,168.05,-105.15,0.0,top
C60,102.6,-107.25,0.0,top
C61,87.25,-105.75,-90.0,top
C62,77.75,-108.5,180.0,top
C63,88.675,-99.675,-90.0,top
C66,85.8,-117.475,90.0,top
C67,100.3,-109.85,0.0,top
C68,83.4,-117.275,0.0,top
C69,103.55,-109.95,180.0,top
C7,153.75,-129.0,0.0,top
C70,88.4,-115.55,0.0,top
C71,97.75,-111.0,-90.0,top
C72,110.3,-128.425,-90.0,top
C73,111.7,-119.4,0.0,top
C76,87.9,-108.25,0.0,top
C77,99.6,-112.7,90.0,top
C78,108.65,-128.425,-90.0,top
C79,111.75,-121.0,0.0,top
C8,146.5,-121.75,90.0,top
C9,153.75,-118.975,0.0,top
D1,169.5,-121.5,0.0,top
D2,157.25,-122.75,180.0,top
D3,143.75,-123.75,-90.0,top
D4,151.5,-64.85,0.0,top
D5,145.975,-69.75,90.0,top
D6,129.5,-100.71,-90.0,top
D7,129.5,-93.21,90.0,top
D8,154.2,-136.0,180.0,top
F1,157.3,-105.0,180.0,top
J1,126.25,-56.0,0.0,top
J2,95.75,-78.5,0.0,top
J3,95.75,-56.0,0.0,top
J4,126.25,-67.25,0.0,top
J5,95.75,-67.25,0.0,top
J6,126.25,-78.5,0.0,top
J7,153.25,-83.5,90.0,top
J8,163.1975,-112.7,90.0,top
J9,160.47,-134.0,90.0,top
J_24V_pwr1,73.0,-82.75,-90.0,top
J_fan1,134.75,-114.525,0.0,top
J_power_button1,124.1,-108.65,180.0,top
L1,145.25,-117.5,180.0,top
Q1,120.105,-94.935,180.0,top
Q2,123.77,-100.46,0.0,top
Q3,152.9,-110.275,90.0,top
Q5,152.875,-106.0,90.0,top
R1,127.15,-120.59,0.0,top
R10,150.5,-115.475,180.0,top
R11,155.575,-65.8,180.0,top
R12,155.6,-64.05,0.0,top
